對應客戶,預標,"加入優
選車輛",拍賣頻道,拍賣順序,"拍賣時間推估
(僅供參考)",No.,停拍,廠牌/車型,監理型式,車號,顏色,出廠年月,排氣量,排檔,燃油,傳動方式,車門數,里程數,車種,評價,"監理
資料",照片,"查定
表",全景圖,備註,場次
擴大機劉先生,,,A,260,1420-1430,1033,,"LEXUS
IS300",LEXUS IS300,BWP-2173,淺棕,202005,1998,手自,汽油,2WD,4,105920 KM,小客車,B,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MU6QC&IDX=227&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MU6QC&IDX=227&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MU6QC&IDX=227&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=fphoto&DATE=2026/03/11&PKNO=J00MU6QC&IDX=227&HISTORY=N&TYPE=N""}]}",車在林口拍場。 停駛 取件3日內完成過戶,2026/03/11
擴大機劉先生,,,B,213,1330-1340,1507,,"LEXUS
ES250",LEXUS ES250,AYX-5988,白,201809,2487,手自,汽油,2WD,4,111874 KM,小客車,B,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MXFIP&IDX=276&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MXFIP&IDX=276&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MXFIP&IDX=276&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=fphoto&DATE=2026/03/11&PKNO=J00MXFIP&IDX=276&HISTORY=N&TYPE=N""}]}",車在台中拍場。 停駛 KEY+1 出廠證 原廠保養,2026/03/11
擴大機劉先生,,,B,234,1350-1400,1530,,"LEXUS
RX270",LEXUS RX270,1002-S7,黑,201209,2672,手自,汽油,2WD,5,67970 KM,小客車,B+,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MXSKJ&IDX=297&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MXSKJ&IDX=297&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MXSKJ&IDX=297&HISTORY=N&TYPE=N""}]}",,車在台中拍場。 停駛 預扣押金 KEY+1 出廠證,2026/03/11
擴大機劉先生,,,B,253,1400-1410,1810,,"LEXUS
ES350",LEXUS ES350,6188-ZC,黑,201002,3456,手自,汽油,2WD,4,124776 KM,小客車,A,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MW9A7&IDX=316&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MW9A7&IDX=316&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MW9A7&IDX=316&HISTORY=N&TYPE=N""}]}",,車在高雄拍場。 115未稅 預扣押金 旗艦版 一手車 資全 KEY+1 ACC跟車 原廠保全養 取件5日內過戶 需回傳過戶書,2026/03/11
擴大機劉先生,,,C,318,,2037,停拍,"LEXUS
IS250",LEXUS IS250,AWC-6173,灰,201010,2500,,汽油,,,,小客車,,,,,,115未稅 無發票 限過個人名 預扣押金,2026/03/11
擴大機劉先生,,,C,361,1420-1430,2081,,"LEXUS
RX350",RX350 4WD,5219-TJ,銀,200711,3456,手自,汽油,4WD,5,187018 KM,小客車,A,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MUYSP&IDX=406&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MUYSP&IDX=406&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MUYSP&IDX=406&HISTORY=N&TYPE=N""}]}",,車在林口拍場。 停駛 附發票,2026/03/11
擴大機劉先生,,,C,379,1430-1440,2101,,"LEXUS
IS250",IS250,AKN-6685,黑,200512,2500,手自,汽油,2WD,4,220079 KM,小客車,B,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MXWZM&IDX=424&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MXWZM&IDX=424&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MXWZM&IDX=424&HISTORY=N&TYPE=N""}]}",,車在林口拍場。 停駛 附發票 預扣押金 出廠資料齊 key+1 黑內裝,2026/03/11
擴大機劉先生,,,C,258,1320-1330,2314,,"LEXUS
SC430",SC430,1068-TQ,紫,200206,4293,自,汽油,2WD,2,173085 KM,小客車,B,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MXRUM&IDX=446&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MXRUM&IDX=446&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MXRUM&IDX=446&HISTORY=N&TYPE=N""}]}",,車在桃園拍場。 停駛 預扣押金 取件7日內過戶,2026/03/11
擴大機劉先生,,,C,276,1330-1340,2333,,"LEXUS
IS200",IS200,6163-QZ,銀,200505,1988,自,汽油,2WD,4,157894 KM,小客車,C,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MXUXN&IDX=464&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MXUXN&IDX=464&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MXUXN&IDX=464&HISTORY=N&TYPE=N""}]}",,車在桃園拍場。 停駛 無發票 限過個人名 預扣押金 取件7日內過戶 需回傳過戶書表,2026/03/11
擴大機劉先生,,,B,347,1450-1500,2555,,"LEXUS
IS200T",IS200T,AQD-0991,白黑,201603,1998,手自,汽油,2WD,4,226789 KM,小客車,C,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MXSWU&IDX=518&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MXSWU&IDX=518&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MXSWU&IDX=518&HISTORY=N&TYPE=N""}]}",,車在台中拍場。 停駛 無發票 限過個人名 預扣押金 需回傳過戶書,2026/03/11
擴大機劉先生,,,B,371,1500-1510,2807,,"LEXUS
UX250H",LEXUS UX250H,BDN-2006,白,201903,1987,手自,油電,2WD,5,179233 KM,小客車,A,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MXFIY&IDX=542&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MXFIY&IDX=542&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MXFIY&IDX=542&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=fphoto&DATE=2026/03/11&PKNO=J00MXFIY&IDX=542&HISTORY=N&TYPE=N""}]}",車在高雄拍場。 115未稅 無發票 限過個人名 預扣押金 KEY+1 取件5日內過戶 需回傳過戶書,2026/03/11
擴大機劉先生,,,B,381,1510-1520,2820,,"LEXUS
RX450H",LEXUSRX450H,BEV-0189,淺棕,201610,3456,手自,油電,4WD,5,198338 KM,小客車,B,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MW373&IDX=552&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MW373&IDX=552&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MW373&IDX=552&HISTORY=N&TYPE=N""}]}",,車在高雄拍場。 繳銷 無發票 限過個人名 出廠證 KEY+1,2026/03/11
擴大機劉先生,,,C,227,1310-1320,3082,,"LEXUS
RX300",LEXUS RX300,AYK-1016,淺棕,201811,1998,手自,汽油,2WD,5,91747 KM,小客車,A,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MXY9D&IDX=647&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MXY9D&IDX=647&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MXY9D&IDX=647&HISTORY=N&TYPE=N""}]}",,不在庫。 115未稅 預扣押金 車輛所在地:新北 需回傳行照 大牌隨資料寄出 取件7日內過戶 黑內裝,2026/03/11
擴大機劉先生,,,C,417,,3230,停拍,"LEXUS
LM300H",LEXUS LM300H,BFK-1336,黑,202003,2494,手自,油電,4WD,5,106793 KM,小客車,A,,,,,不在庫。 115未稅 無發票 限過個人名 預扣押金 車輛所在地:新竹,2026/03/11
擴大機劉先生,,,C,144,1220-1230,3836,,"LEXUS
IS250",LEXUSIS250,1898-XW,銀,200910,2500,手自,汽油,2WD,4,262684 KM,小客車,A,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MX2WF&IDX=766&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MX2WF&IDX=766&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MX2WF&IDX=766&HISTORY=N&TYPE=N""}]}",,不在庫。 停駛 無發票 限過個人名 預扣押金 車輛所在地:台南 取件7日內過戶 需回傳過戶書,2026/03/11
擴大機劉先生,,,C,419,1500-1510,6822,,"LEXUS
ES200",LEXUS ES200,AZZ-0761,淺棕,201808,1998,手自,汽油,2WD,4,49567 KM,小客車,N,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MWGFW&IDX=800&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MWGFW&IDX=800&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MWGFW&IDX=800&HISTORY=N&TYPE=N""}]}",,車在高雄拍場。 繳銷 無發票 限過個人名 預扣押金 需回傳過戶書,2026/03/11
擴大機劉先生,,,B,287,1420-1430,7703,,"LEXUS
NX300",LEXUS NX300,BWT-6361,淺棕,201804,1998,手自,汽油,2WD,5,90243 KM,小客車,A,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MWZC5&IDX=859&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MWZC5&IDX=859&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MWZC5&IDX=859&HISTORY=N&TYPE=N""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=fphoto&DATE=2026/03/11&PKNO=J00MWZC5&IDX=859&HISTORY=N&TYPE=N""}]}",車在台南拍場。 停駛 預扣押金 資全 KEY+2 安卓機 需回傳過戶書,2026/03/11
擴大機劉先生,,,A,67,1220-1230,8015,,"LEXUS
ES300H",LEXUS ES300H,RCW-9681,黑,202007,2487,手自,油電,2WD,4,62248 KM,小客車,B,"{""__links"":[{""type"":""record"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=record&DATE=2026/03/11&PKNO=J00MX3OH&IDX=888&HISTORY=H&TYPE=H""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=photo&DATE=2026/03/11&PKNO=J00MX3OH&IDX=888&HISTORY=H&TYPE=H""}]}","{""__links"":[{""type"":""check"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=check&DATE=2026/03/11&PKNO=J00MX3OH&IDX=888&HISTORY=H&TYPE=H""}]}","{""__links"":[{""type"":""photo"",""url"":""https://www.sinjang.com.tw/Portal/CARPHOTO.aspx?favorites=N&KIND=fphoto&DATE=2026/03/11&PKNO=J00MX3OH&IDX=888&HISTORY=H&TYPE=H""}]}",車在林口拍場。 繳銷 租賃車 有發票 證件拍定後14個工作天內寄出,2026/03/11
